 [2022-10-11 23:10:25,893] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-11 23:29:44,560] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-11 23:29:55,538] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-11 23:29:55,538] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-11 23:29:55,538] Checkout - Step 03: Choose Grid View mode
 [2022-10-11 23:29:55,538] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:29:55,538] Checkout - Step 04: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-11 23:29:55,538] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:29:55,539] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:30:53,842] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-11 23:31:02,400] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-11 23:31:02,400] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-11 23:31:02,400] Checkout - Step 03: Choose Grid View mode
 [2022-10-11 23:31:02,400] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:31:02,400] Checkout - Step 04: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-11 23:31:02,401] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:31:02,401] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:32:41,589] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-11 23:32:50,298] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-11 23:32:50,298] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-11 23:32:50,299] Checkout - Step 03: Choose Grid View mode
 [2022-10-11 23:32:50,299] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:32:50,299] Checkout - Step 04: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-11 23:32:50,299] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:32:50,299] Checkout - Step 04: Add product '' to Cart
 [2022-10-12 00:38:31,631] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 00:38:41,154] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 00:38:41,584] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 00:38:43,351] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 00:38:44,300] Checkout - Step 04: Add product 'Cabel - Electricity Services Elementor Template Kit' to Cart
 [2022-10-12 00:38:45,693] Checkout - Step 04: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-12 00:38:46,547] Checkout - Step 04: Add product 'Maldives - Business & Agency Elementor Template Kit' to Cart
 [2022-10-12 00:38:46,724] Checkout - Step 04: Click to 'Go to Checkout' button
 [2022-10-12 00:38:48,683] Checkout - Step 04: Verify product 'Cabel - Electricity Services Elementor Template Kit' name is correctly displayed
 [2022-10-12 00:38:48,798]  -------------------------- PASSED -------------------------- 
 [2022-10-12 00:38:48,799] Checkout - Step 04: Verify product '' price is correctly displayed
 [2022-10-12 00:38:48,944]  -------------------------- PASSED -------------------------- 
 [2022-10-12 00:38:48,944] Checkout - Step 04: Verify product 'Maldives - Business & Agency Elementor Template Kit' name is correctly displayed
 [2022-10-12 00:38:49,075]  -------------------------- PASSED -------------------------- 
 [2022-10-12 00:38:49,075] Checkout - Step 04: Verify product 'Maldives - Business & Agency Elementor Template Kit' price is correctly displayed
 [2022-10-12 00:38:49,403]  -------------------------- PASSED -------------------------- 
 [2022-10-12 00:38:49,403] Checkout - Step 04: Verify cart total is correctly displayed
 [2022-10-12 00:38:49,504]  -------------------------- PASSED -------------------------- 
 [2022-10-12 00:38:49,504] Checkout - Step 04: Click to 'Secure Checkout' button
 [2022-10-12 00:38:51,813] Checkout - Step 04: Creat Account
 [2022-10-12 01:16:47,316] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 01:17:40,180] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 01:17:47,966] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 01:17:48,302] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 01:17:49,929] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 01:17:51,033] Checkout - Step 04: Add product 'Cabel - Electricity Services Elementor Template Kit' to Cart
 [2022-10-12 01:17:52,494] Checkout - Step 05: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-12 01:17:53,197] Checkout - Step 06: Add product 'Maldives - Business & Agency Elementor Template Kit' to Cart
 [2022-10-12 01:17:53,373] Checkout - Step 07: Click to 'Go to Checkout' button
 [2022-10-12 01:17:55,380] Checkout - Step 08: Verify product 'Cabel - Electricity Services Elementor Template Kit' name is correctly displayed
 [2022-10-12 01:17:55,504]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:17:55,504] Checkout - Step 09: Verify product '' price is correctly displayed
 [2022-10-12 01:17:55,653]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:17:55,653] Checkout - Step 10: Verify product 'Maldives - Business & Agency Elementor Template Kit' name is correctly displayed
 [2022-10-12 01:17:55,767]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:17:55,768] Checkout - Step 11: Verify product 'Maldives - Business & Agency Elementor Template Kit' price is correctly displayed
 [2022-10-12 01:17:56,068]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:17:56,068] Checkout - Step 12: Verify cart total is correctly displayed
 [2022-10-12 01:17:56,160]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:17:56,160] Checkout - Step 13: Click to 'Secure Checkout' button
 [2022-10-12 01:17:58,203] Checkout - Step 14: Input to Firstname textbox with value: 
 [2022-10-12 01:17:59,646] Checkout - Step 14: Input to Lastname textbox with value: 
 [2022-10-12 01:18:00,971] Checkout - Step 14: Input to Email textbox with value: 
 [2022-10-12 01:18:02,657] Checkout - Step 14: Input to Username textbox with value: 
 [2022-10-12 01:18:04,089] Checkout - Step 14: Input to Password textbox with value: 
 [2022-10-12 01:18:05,645] Checkout - Step 14: Tick to captcha checkbox
 [2022-10-12 01:18:06,108] Checkout - Step 14: Tick to send me tips checkbox
 [2022-10-12 01:20:17,230] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 01:20:26,161] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 01:20:26,376] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 01:20:27,991] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 01:20:28,849] Checkout - Step 04: Add product 'Cabel - Electricity Services Elementor Template Kit' to Cart
 [2022-10-12 01:20:29,706] Checkout - Step 05: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-12 01:20:30,742] Checkout - Step 06: Add product 'Maldives - Business & Agency Elementor Template Kit' to Cart
 [2022-10-12 01:20:30,933] Checkout - Step 07: Click to 'Go to Checkout' button
 [2022-10-12 01:20:32,915] Checkout - Step 08: Verify product 'Cabel - Electricity Services Elementor Template Kit' name is correctly displayed
 [2022-10-12 01:20:33,058]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:20:33,058] Checkout - Step 09: Verify product '' price is correctly displayed
 [2022-10-12 01:20:33,135]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:20:33,135] Checkout - Step 10: Verify product 'Maldives - Business & Agency Elementor Template Kit' name is correctly displayed
 [2022-10-12 01:20:33,229]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:20:33,230] Checkout - Step 11: Verify product 'Maldives - Business & Agency Elementor Template Kit' price is correctly displayed
 [2022-10-12 01:20:33,305]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:20:33,305] Checkout - Step 12: Verify cart total is correctly displayed
 [2022-10-12 01:20:33,386]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:20:33,386] Checkout - Step 13: Click to 'Secure Checkout' button
 [2022-10-12 01:20:35,602] Checkout - Step 14: Input to Firstname textbox with value: 
 [2022-10-12 01:20:36,987] Checkout - Step 14: Input to Lastname textbox with value: 
 [2022-10-12 01:20:38,427] Checkout - Step 14: Input to Email textbox with value: 
 [2022-10-12 01:20:40,096] Checkout - Step 14: Input to Username textbox with value: 
 [2022-10-12 01:20:41,561] Checkout - Step 14: Input to Password textbox with value: 
 [2022-10-12 01:20:43,058] Checkout - Step 14: Tick to captcha checkbox
 [2022-10-12 01:21:22,345] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 01:21:29,998] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 01:21:30,220] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 01:21:31,618] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 01:21:32,505] Checkout - Step 04: Add product 'Cabel - Electricity Services Elementor Template Kit' to Cart
 [2022-10-12 01:21:33,598] Checkout - Step 05: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-12 01:21:34,582] Checkout - Step 06: Add product 'Maldives - Business & Agency Elementor Template Kit' to Cart
 [2022-10-12 01:21:34,769] Checkout - Step 07: Click to 'Go to Checkout' button
 [2022-10-12 01:21:36,873] Checkout - Step 08: Verify product 'Cabel - Electricity Services Elementor Template Kit' name is correctly displayed
 [2022-10-12 01:21:36,973]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:21:36,973] Checkout - Step 09: Verify product '' price is correctly displayed
 [2022-10-12 01:21:37,109]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:21:37,109] Checkout - Step 10: Verify product 'Maldives - Business & Agency Elementor Template Kit' name is correctly displayed
 [2022-10-12 01:21:37,188]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:21:37,189] Checkout - Step 11: Verify product 'Maldives - Business & Agency Elementor Template Kit' price is correctly displayed
 [2022-10-12 01:21:37,299]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:21:37,299] Checkout - Step 12: Verify cart total is correctly displayed
 [2022-10-12 01:21:37,437]  -------------------------- PASSED -------------------------- 
 [2022-10-12 01:21:37,437] Checkout - Step 13: Click to 'Secure Checkout' button
 [2022-10-12 01:21:39,891] Checkout - Step 14: Input to Firstname textbox with value: 
 [2022-10-12 01:21:41,275] Checkout - Step 14: Input to Lastname textbox with value: 
 [2022-10-12 01:21:42,763] Checkout - Step 14: Input to Email textbox with value: 
 [2022-10-12 01:21:44,414] Checkout - Step 14: Input to Username textbox with value: 
 [2022-10-12 01:21:45,909] Checkout - Step 14: Input to Password textbox with value: 
 [2022-10-12 01:21:47,460] Checkout - Step 14: Tick to captcha checkbox
 [2022-10-12 01:21:47,796] Checkout - Step 14: Tick to send me tips checkbox
 [2022-10-12 12:00:08,751] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 12:00:21,055] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 12:00:21,632] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 12:00:23,781] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 12:00:25,816] Checkout - Step 04: Add product 'Cabel - Electricity Services Elementor Template Kit' to Cart
 [2022-10-12 12:00:26,847] Checkout - Step 05: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-12 12:00:27,627] Checkout - Step 06: Add product 'Maldives - Business & Agency Elementor Template Kit' to Cart
 [2022-10-12 12:00:27,793] Checkout - Step 07: Click to 'Go to Checkout' button
 [2022-10-12 12:00:29,584] Checkout - Step 08: Verify product 'Cabel - Electricity Services Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:00:29,707]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:00:29,707] Checkout - Step 09: Verify product '' price is correctly displayed
 [2022-10-12 12:00:29,885]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:00:29,885] Checkout - Step 10: Verify product 'Maldives - Business & Agency Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:00:30,115]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:00:30,115] Checkout - Step 11: Verify product 'Maldives - Business & Agency Elementor Template Kit' price is correctly displayed
 [2022-10-12 12:00:30,285]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:00:30,286] Checkout - Step 12: Verify cart total is correctly displayed
 [2022-10-12 12:00:30,388]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:00:30,388] Checkout - Step 13: Click to 'Secure Checkout' button
 [2022-10-12 12:00:33,596] Checkout - Step 14: Input to Firstname textbox with value: 
 [2022-10-12 12:00:35,181] Checkout - Step 14: Input to Lastname textbox with value: 
 [2022-10-12 12:00:36,756] Checkout - Step 14: Input to Email textbox with value: 
 [2022-10-12 12:00:38,485] Checkout - Step 14: Input to Username textbox with value: 
 [2022-10-12 12:00:40,055] Checkout - Step 14: Input to Password textbox with value: 
 [2022-10-12 12:00:41,832] Checkout - Step 14: Tick to captcha checkbox
 [2022-10-12 12:00:42,281] Checkout - Step 14: Tick to send me tips checkbox
 [2022-10-12 12:16:11,485] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 12:16:19,269] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 12:16:19,487] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 12:16:20,268] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 12:16:21,203] Checkout - Step 04: Add product 'Cabel - Electricity Services Elementor Template Kit' to Cart
 [2022-10-12 12:16:22,298] Checkout - Step 05: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-12 12:16:23,074] Checkout - Step 06: Add product 'Maldives - Business & Agency Elementor Template Kit' to Cart
 [2022-10-12 12:16:23,313] Checkout - Step 07: Click to 'Go to Checkout' button
 [2022-10-12 12:16:25,575] Checkout - Step 08: Verify product 'Cabel - Electricity Services Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:16:25,700]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:16:25,701] Checkout - Step 09: Verify product '' price is correctly displayed
 [2022-10-12 12:16:25,776]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:16:25,776] Checkout - Step 10: Verify product 'Maldives - Business & Agency Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:16:25,871]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:16:25,871] Checkout - Step 11: Verify product 'Maldives - Business & Agency Elementor Template Kit' price is correctly displayed
 [2022-10-12 12:16:26,150]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:16:26,150] Checkout - Step 12: Verify cart total is correctly displayed
 [2022-10-12 12:16:26,239]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:16:26,240] Checkout - Step 13: Click to 'Secure Checkout' button
 [2022-10-12 12:16:28,345] Checkout - Step 14: Input to Firstname textbox with value: Vincent
 [2022-10-12 12:16:29,856] Checkout - Step 14: Input to Lastname textbox with value: VSM
 [2022-10-12 12:16:31,210] Checkout - Step 14: Input to Email textbox with value: vincent@gmail.com
 [2022-10-12 12:16:32,796] Checkout - Step 14: Input to Username textbox with value: vincen218
 [2022-10-12 12:16:34,258] Checkout - Step 14: Input to Password textbox with value: Vincen@218
 [2022-10-12 12:16:35,773] Checkout - Step 14: Tick to captcha checkbox
 [2022-10-12 12:16:36,121] Checkout - Step 14: Tick to send me tips checkbox
 [2022-10-12 12:16:36,238] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 12:17:51,619] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 12:17:59,437] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 12:17:59,720] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 12:18:01,401] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 12:18:02,359] Checkout - Step 04: Add product 'Cabel - Electricity Services Elementor Template Kit' to Cart
 [2022-10-12 12:18:03,244] Checkout - Step 05: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-12 12:18:04,163] Checkout - Step 06: Add product 'Maldives - Business & Agency Elementor Template Kit' to Cart
 [2022-10-12 12:18:04,309] Checkout - Step 07: Click to 'Go to Checkout' button
 [2022-10-12 12:18:06,306] Checkout - Step 08: Verify product 'Cabel - Electricity Services Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:18:06,462]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:18:06,462] Checkout - Step 09: Verify product '' price is correctly displayed
 [2022-10-12 12:18:06,538]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:18:06,538] Checkout - Step 10: Verify product 'Maldives - Business & Agency Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:18:06,629]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:18:06,630] Checkout - Step 11: Verify product 'Maldives - Business & Agency Elementor Template Kit' price is correctly displayed
 [2022-10-12 12:18:06,922]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:18:06,923] Checkout - Step 12: Verify cart total is correctly displayed
 [2022-10-12 12:18:07,012]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:18:07,013] Checkout - Step 13: Click to 'Secure Checkout' button
 [2022-10-12 12:18:09,091] Checkout - Step 14: Input to Firstname textbox with value: Vincent
 [2022-10-12 12:18:10,535] Checkout - Step 14: Input to Lastname textbox with value: VSM
 [2022-10-12 12:18:11,935] Checkout - Step 14: Input to Email textbox with value: vincent@gmail.com
 [2022-10-12 12:18:13,480] Checkout - Step 14: Input to Username textbox with value: vincen218
 [2022-10-12 12:18:14,947] Checkout - Step 14: Input to Password textbox with value: Vincen@218
 [2022-10-12 12:18:16,469] Checkout - Step 14: Tick to captcha checkbox
 [2022-10-12 12:18:16,815] Checkout - Step 14: Tick to send me tips checkbox
 [2022-10-12 12:18:16,918] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 12:39:48,075] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 12:39:54,592] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 12:39:54,871] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 12:39:56,438] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 12:39:57,479] Checkout - Step 04: Add product 'Cabel - Electricity Services Elementor Template Kit' to Cart
 [2022-10-12 12:39:59,481] Checkout - Step 05: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-12 12:40:01,023] Checkout - Step 06: Add product 'Maldives - Business & Agency Elementor Template Kit' to Cart
 [2022-10-12 12:40:01,179] Checkout - Step 07: Click to 'Go to Checkout' button
 [2022-10-12 12:40:03,161] Checkout - Step 08: Verify product 'Cabel - Electricity Services Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:40:03,312]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:40:03,312] Checkout - Step 09: Verify product '' price is correctly displayed
 [2022-10-12 12:40:03,402]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:40:03,402] Checkout - Step 10: Verify product 'Maldives - Business & Agency Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:40:03,519]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:40:03,519] Checkout - Step 11: Verify product 'Maldives - Business & Agency Elementor Template Kit' price is correctly displayed
 [2022-10-12 12:40:03,781]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:40:03,781] Checkout - Step 12: Verify cart total is correctly displayed
 [2022-10-12 12:40:03,867]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:40:03,867] Checkout - Step 13: Click to 'Secure Checkout' button
 [2022-10-12 12:40:06,667] Checkout - Step 14: Input to Firstname textbox with value: Vincent
 [2022-10-12 12:40:08,123] Checkout - Step 15: Input to Lastname textbox with value: VSM
 [2022-10-12 12:40:09,487] Checkout - Step 16: Input to Email textbox with value: vincent@gmail.com
 [2022-10-12 12:40:11,078] Checkout - Step 17: Input to Username textbox with value: vincen218
 [2022-10-12 12:40:12,570] Checkout - Step 18: Input to Password textbox with value: Vincen@218
 [2022-10-12 12:40:14,090] Checkout - Step 19: Tick to captcha checkbox
 [2022-10-12 12:40:14,453] Checkout - Step 20: Tick to send me tips checkbox
 [2022-10-12 12:40:14,551] Checkout - Step 21: Back to Cart Page
 [2022-10-12 12:40:15,557] Checkout - Step 21: Click to 'Empty Cart' button
 [2022-10-12 12:40:15,776] Checkout - Step 21: Accept alert to remove all item from cart
 [2022-10-12 12:40:15,836] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 12:46:18,885] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 12:46:25,091] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 12:46:25,322] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 12:46:26,873] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 12:46:27,763] Checkout - Step 04: Add product 'Cabel - Electricity Services Elementor Template Kit' to Cart
 [2022-10-12 12:46:28,844] Checkout - Step 05: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-12 12:46:29,514] Checkout - Step 06: Add product 'Maldives - Business & Agency Elementor Template Kit' to Cart
 [2022-10-12 12:46:29,664] Checkout - Step 07: Click to 'Go to Checkout' button
 [2022-10-12 12:46:31,308] Checkout - Step 08: Verify product 'Cabel - Electricity Services Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:46:31,442]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:46:31,442] Checkout - Step 09: Verify product '' price is correctly displayed
 [2022-10-12 12:46:31,539]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:46:31,539] Checkout - Step 10: Verify product 'Maldives - Business & Agency Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:46:31,633]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:46:31,633] Checkout - Step 11: Verify product 'Maldives - Business & Agency Elementor Template Kit' price is correctly displayed
 [2022-10-12 12:46:31,814]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:46:31,815] Checkout - Step 12: Verify cart total is correctly displayed
 [2022-10-12 12:46:32,000]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:46:32,001] Checkout - Step 13: Click to 'Secure Checkout' button
 [2022-10-12 12:46:34,164] Checkout - Step 14: Input to Firstname textbox with value: Vincent
 [2022-10-12 12:46:35,621] Checkout - Step 15: Input to Lastname textbox with value: VSM
 [2022-10-12 12:46:36,983] Checkout - Step 16: Input to Email textbox with value: vincent@gmail.com
 [2022-10-12 12:46:38,698] Checkout - Step 17: Input to Username textbox with value: vincen218
 [2022-10-12 12:46:40,281] Checkout - Step 18: Input to Password textbox with value: Vincen@218
 [2022-10-12 12:46:41,787] Checkout - Step 19: Tick to captcha checkbox
 [2022-10-12 12:46:42,135] Checkout - Step 20: Tick to send me tips checkbox
 [2022-10-12 12:46:42,249] Checkout - Step 21: Back to Cart Page
 [2022-10-12 12:46:43,320] Checkout - Step 21: Click to 'Empty Cart' button
 [2022-10-12 12:46:43,536] Checkout - Step 21: Accept alert to remove all item from cart
 [2022-10-12 12:46:43,557] Checkout - Step 21: Verify cart is empty
 [2022-10-12 12:46:45,896]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:46:45,902] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 12:46:47,537] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 12:46:48,040] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 12:47:45,251] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-12 12:47:51,777] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-12 12:47:52,037] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-12 12:47:53,581] Checkout - Step 03: Choose Grid View mode
 [2022-10-12 12:47:54,482] Checkout - Step 04: Add product 'Cabel - Electricity Services Elementor Template Kit' to Cart
 [2022-10-12 12:47:55,305] Checkout - Step 05: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-12 12:47:56,254] Checkout - Step 06: Add product 'Maldives - Business & Agency Elementor Template Kit' to Cart
 [2022-10-12 12:47:56,436] Checkout - Step 07: Click to 'Go to Checkout' button
 [2022-10-12 12:47:58,245] Checkout - Step 08: Verify product 'Cabel - Electricity Services Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:47:58,356]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:47:58,356] Checkout - Step 09: Verify product '' price is correctly displayed
 [2022-10-12 12:47:58,489]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:47:58,489] Checkout - Step 10: Verify product 'Maldives - Business & Agency Elementor Template Kit' name is correctly displayed
 [2022-10-12 12:47:58,593]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:47:58,593] Checkout - Step 11: Verify product 'Maldives - Business & Agency Elementor Template Kit' price is correctly displayed
 [2022-10-12 12:47:58,668]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:47:58,669] Checkout - Step 12: Verify cart total is correctly displayed
 [2022-10-12 12:47:58,830]  -------------------------- PASSED -------------------------- 
 [2022-10-12 12:47:58,830] Checkout - Step 13: Click to 'Secure Checkout' button
 [2022-10-12 12:48:02,331] Checkout - Step 14: Input to Firstname textbox with value: Vincent
 [2022-10-12 12:48:03,776] Checkout - Step 15: Input to Lastname textbox with value: VSM
 [2022-10-12 12:48:05,210] Checkout - Step 16: Input to Email textbox with value: vincent@gmail.com
 [2022-10-12 12:48:06,927] Checkout - Step 17: Input to Username textbox with value: vincen218
 [2022-10-12 12:48:08,547] Checkout - Step 18: Input to Password textbox with value: Vincen@218
